ANNUAL;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
VAL.T.T1001.A.DK.W2.S1.S1.B.B1G._T.B.Y.N.XDC;1152739.066#E0;1184807.786#E0;1216241.731#E0;1260260.952#E0;1312221.189#E0;1399362.474#E0;1435805.216#E0;1475818.809#E0;1476719.474#E0;1512253.223#E0;1586909.789#E0;1597221.304#E0;1651124.2#E0;1695275.78#E0;1756342.045#E0;1823241.658#E0;1883483.021#E0;1940155.684#E0;1984077.091#E0;1962363.611#E0;2121063.922#E0
VAL.T.T1001.A.DK0.W2.S1.S1.B.B1G._T.B.Y.N.XDC;1119664.98935037#E0;1152414.381181#E0;1185231.43645678#E0;1225380.32403547#E0;1273764.62118006#E0;1350014.01790164#E0;1381611.17395901#E0;1423587.58227969#E0;1416282.71310666#E0;1471400.26040043#E0;1541384.69325712#E0;1544880.5966912#E0;1602355.87238724#E0;1649229.50319838#E0;1719616.58125919#E0;1797445.87944591#E0;1865976.05512468#E0;1920582.53220762#E0;1961259.97898418#E0;1946000.41411358#E0;2107916.40300836#E0
VAL.T.T1001.A.DK01.W2.S1.S1.B.B1G._T.B.Y.N.XDC;426735.013104747#E0;427599.963816059#E0;441458.802547372#E0;462183.717073079#E0;495663.279628007#E0;515576.314192114#E0;520245.182692195#E0;541423.373837404#E0;543302.150727739#E0;573846.741264797#E0;609385.236741318#E0;612204.979615623#E0;639275.482126846#E0;664246.064689529#E0;709049.406221301#E0;746013.7642243#E0;767693.147530625#E0;800966.674534729#E0;812057.900649848#E0;796470.69118887#E0;878486.188232272#E0
VAL.T.T1001.A.DK02.W2.S1.S1.B.B1G._T.B.Y.N.XDC;122243.895027704#E0;127054.286807841#E0;131542.434258081#E0;136785.333412536#E0;140995.352082441#E0;147405.22142801#E0;149987.839862324#E0;149097.059037273#E0;145369.030510042#E0;155158.213002989#E0;159433.226990268#E0;159190.159820564#E0;162493.693548121#E0;166551.725608215#E0;174635.612417276#E0;177791.15804983#E0;187710.388075419#E0;192025.197360599#E0;199048.109592348#E0;195891.663609543#E0;210410.316389591#E0
VAL.T.T1001.A.DK03.W2.S1.S1.B.B1G._T.B.Y.N.XDC;225022.166450562#E0;233945.136806757#E0;241515.679732791#E0;247071.930620043#E0;250611.468785786#E0;271123.751375738#E0;281876.595950205#E0;289803.785270603#E0;288391.369676217#E0;293766.22412286#E0;310067.294240805#E0;309355.266344389#E0;321247.091768479#E0;328130.098794739#E0;337069.054372969#E0;346230.499623122#E0;355471.687057768#E0;363397.054817562#E0;369738.22258312#E0;369432.854198046#E0;396097.109047986#E0
VAL.T.T1001.A.DK04.W2.S1.S1.B.B1G._T.B.Y.N.XDC;239022.809573965#E0;250318.799396325#E0;254276.481128635#E0;262897.556861893#E0;267459.901881777#E0;289077.711712855#E0;297541.812006809#E0;307486.643884321#E0;306276.57543378#E0;312664.751443696#E0;324878.503612702#E0;323907.784835867#E0;334636.357430285#E0;343560.012038336#E0;347080.460945455#E0;372931.575338481#E0;392265.595690835#E0;399473.06219201#E0;413899.775867624#E0;420311.811018649#E0;448742.471033436#E0
VAL.T.T1001.A.DK05.W2.S1.S1.B.B1G._T.B.Y.N.XDC;106641.762058449#E0;113496.05848847#E0;116438.997890742#E0;116442.898956312#E0;119035.496383666#E0;126828.799994496#E0;131957.209636196#E0;135775.758106536#E0;132940.774341928#E0;135966.067578809#E0;137617.671363108#E0;140224.062652111#E0;144704.875042102#E0;146742.358686031#E0;151782.915848627#E0;154477.985740332#E0;162834.975709224#E0;164720.250062533#E0;166515.015780283#E0;163892.982776884#E0;174179.693741321#E0
VAL.T.T1001.A.DKZ.W2.S1.S1.B.B1G._T.B.Y.N.XDC;33074.0766496344#E0;32393.4048190032#E0;31010.2945432182#E0;34880.6279645329#E0;38456.5678199402#E0;49348.4560983582#E0;54194.0420409932#E0;52231.2267203096#E0;60436.7608933444#E0;40852.9625995726#E0;45525.0957428829#E0;52340.7073087981#E0;48768.3276127592#E0;46046.2768016174#E0;36725.4637408069#E0;25795.7785540862#E0;17506.9658753222#E0;19573.1517923838#E0;22817.1120158158#E0;16363.196886417#E0;13147.5189916429#E0
VAL.T.T1001.A.DKZZ.W2.S1.S1.B.B1G._T.B.Y.N.XDC;33073.4197845732#E0;32393.5406845477#E0;31009.3354423792#E0;34879.5150761372#E0;38455.6902383232#E0;49350.6752967872#E0;54196.5758522708#E0;52232.1888638622#E0;60439.5733102937#E0;40851.2255868491#E0;45527.8560518#E0;52339.050731446#E0;48766.7000841663#E0;46045.5201831494#E0;36724.5951943713#E0;25796.6750239353#E0;17507.2269361291#E0;19573.445032567#E0;22818.0665267773#E0;16363.6082080076#E0;13148.1435553933#E0
VAL.T.T1200.A.DK.W2.S1.S1.B.B1G._T.B.Y.N.XDC;1152739.066#E0;1184807.786#E0;1216241.731#E0;1260260.952#E0;1312221.189#E0;1399362.474#E0;1435805.216#E0;1475818.809#E0;1476719.474#E0;1512253.223#E0;1586909.789#E0;1597221.304#E0;1651124.2#E0;1695275.78#E0;1756342.045#E0;1823241.658#E0;1883483.021#E0;1940155.684#E0;1984077.091#E0;1962363.611#E0;2121063.922#E0
VAL.T.T1200.A.DK0.W2.S1.S1.B.B1G._T.B.Y.N.XDC;1119664.98935037#E0;1152414.381181#E0;1185231.43645678#E0;1225380.32403547#E0;1273764.62118006#E0;1350014.01790164#E0;1381611.17395901#E0;1423587.58227969#E0;1416282.71310666#E0;1471400.26040043#E0;1541384.69325712#E0;1544880.5966912#E0;1602355.87238724#E0;1649229.50319838#E0;1719616.58125919#E0;1797445.87944591#E0;1865976.05512468#E0;1920582.53220762#E0;1961259.97898418#E0;1946000.41411358#E0;2107916.40300836#E0
VAL.T.T1200.A.DK01.W2.S1.S1.B.B1G._T.B.Y.N.XDC;426735.013104747#E0;427599.963816059#E0;441458.802547372#E0;462183.717073079#E0;495663.279628007#E0;515576.314192114#E0;520245.182692195#E0;541423.373837404#E0;543302.150727739#E0;573846.741264797#E0;609385.236741318#E0;612204.979615623#E0;639275.482126846#E0;664246.064689529#E0;709049.406221301#E0;746013.7642243#E0;767693.147530625#E0;800966.674534729#E0;812057.900649848#E0;796470.69118887#E0;878486.188232272#E0
VAL.T.T1200.A.DK02.W2.S1.S1.B.B1G._T.B.Y.N.XDC;122243.895027704#E0;127054.286807841#E0;131542.434258081#E0;136785.333412536#E0;140995.352082441#E0;147405.22142801#E0;149987.839862324#E0;149097.059037273#E0;145369.030510042#E0;155158.213002989#E0;159433.226990268#E0;159190.159820564#E0;162493.693548121#E0;166551.725608215#E0;174635.612417276#E0;177791.15804983#E0;187710.388075419#E0;192025.197360599#E0;199048.109592348#E0;195891.663609543#E0;210410.316389591#E0
VAL.T.T1200.A.DK03.W2.S1.S1.B.B1G._T.B.Y.N.XDC;225022.166450562#E0;233945.136806757#E0;241515.679732791#E0;247071.930620043#E0;250611.468785786#E0;271123.751375738#E0;281876.595950205#E0;289803.785270603#E0;288391.369676217#E0;293766.22412286#E0;310067.294240805#E0;309355.266344389#E0;321247.091768479#E0;328130.098794739#E0;337069.054372969#E0;346230.499623122#E0;355471.687057768#E0;363397.054817562#E0;369738.22258312#E0;369432.854198046#E0;396097.109047986#E0
VAL.T.T1200.A.DK04.W2.S1.S1.B.B1G._T.B.Y.N.XDC;239022.809573965#E0;250318.799396325#E0;254276.481128635#E0;262897.556861893#E0;267459.901881777#E0;289077.711712855#E0;297541.812006809#E0;307486.643884321#E0;306276.57543378#E0;312664.751443696#E0;324878.503612702#E0;323907.784835867#E0;334636.357430285#E0;343560.012038336#E0;347080.460945455#E0;372931.575338481#E0;392265.595690835#E0;399473.06219201#E0;413899.775867624#E0;420311.811018649#E0;448742.471033436#E0
VAL.T.T1200.A.DK05.W2.S1.S1.B.B1G._T.B.Y.N.XDC;106641.762058449#E0;113496.05848847#E0;116438.997890742#E0;116442.898956312#E0;119035.496383666#E0;126828.799994496#E0;131957.209636196#E0;135775.758106536#E0;132940.774341928#E0;135966.067578809#E0;137617.671363108#E0;140224.062652111#E0;144704.875042102#E0;146742.358686031#E0;151782.915848627#E0;154477.985740332#E0;162834.975709224#E0;164720.250062533#E0;166515.015780283#E0;163892.982776884#E0;174179.693741321#E0
VAL.T.T1200.A.DKZ.W2.S1.S1.B.B1G._T.B.Y.N.XDC;33074.0766496344#E0;32393.4048190032#E0;31010.2945432182#E0;34880.6279645329#E0;38456.5678199402#E0;49348.4560983582#E0;54194.0420409932#E0;52231.2267203096#E0;60436.7608933444#E0;40852.9625995726#E0;45525.0957428829#E0;52340.7073087981#E0;48768.3276127592#E0;46046.2768016174#E0;36725.4637408069#E0;25795.7785540862#E0;17506.9658753222#E0;19573.1517923838#E0;22817.1120158158#E0;16363.196886417#E0;13147.5189916429#E0
VAL.T.T1200.A.DKZZ.W2.S1.S1.B.B1G._T.B.Y.N.XDC;33073.4197845732#E0;32393.5406845477#E0;31009.3354423792#E0;34879.5150761372#E0;38455.6902383232#E0;49350.6752967872#E0;54196.5758522708#E0;52232.1888638622#E0;60439.5733102937#E0;40851.2255868491#E0;45527.8560518#E0;52339.050731446#E0;48766.7000841663#E0;46045.5201831494#E0;36724.5951943713#E0;25796.6750239353#E0;17507.2269361291#E0;19573.445032567#E0;22818.0665267773#E0;16363.6082080076#E0;13148.1435553933#E0
